product_id,product_name,category_id,category_name,price
200,Close,9,Simply,153.86
201,Generation,5,Perform,158.86
202,Type,4,Own,275.82
203,Most,8,Find,241.9
204,Answer,2,Budget,31.74
205,Something,2,Drug,65.94
206,Range,8,Least,133.45
207,Charge,8,Whom,282.65
208,Information,8,Eye,345.82
209,Customer,3,Star,236.75
210,Include,4,Ago,20.51
211,Lead,8,Early,385.99
212,Clearly,4,Will,413.97
213,College,3,Daughter,433.43
214,Fall,7,Give,207.9
215,Score,1,Stay,219.67
216,Coach,8,Bag,193.05
217,Enough,6,Western,104.04
218,Direction,2,Trade,136.21
219,Western,6,Ask,35.93
220,Response,1,Work,433.32
221,Century,5,Fish,464.16
222,Identify,1,Force,212.97
223,Her,2,Successful,203.78
224,Various,6,Enter,253.02
225,Maintain,8,Car,300.84
226,Friend,2,Generation,381.82
227,Represent,4,Same,157.08
228,Guess,3,Pay,124.44
229,Thus,7,Side,28.78
230,Us,3,Peace,184.54
231,Have,5,Phone,442.58
232,Assume,7,Charge,251.41
233,Although,4,There,152.25
234,Animal,3,Physical,75.71
235,List,2,Hit,206.3
236,Candidate,9,Experience,384.36
237,Report,7,Consumer,397.75
238,These,7,Wear,111.8
239,Executive,3,Several,423.56
240,Recently,5,Record,155.22
241,Food,1,Series,372.77
242,Serve,2,To,490.99
243,Especially,3,Enter,497.76
244,Establish,5,Gas,272.65
245,Could,7,Current,140.32
246,Throw,6,Stock,205.56
247,Identify,5,Spring,252.03
248,However,9,Growth,48.49
249,Into,9,Help,71.35
250,Themselves,9,Course,271.78
251,Remember,2,Store,493.68
252,Century,6,Social,118.87
253,Image,6,Tv,223.11
254,Manage,5,Bill,12.59
255,Old,7,Father,434.76
256,Mother,9,Billion,474.54
257,Test,1,Full,299.26
258,Guy,3,Which,211.59
259,Cultural,1,Learn,199.43
260,Spend,7,Show,243.16
261,Pattern,2,Raise,436.78
262,Dark,3,Safe,316.37
263,Court,5,Memory,198.82
264,Born,9,Same,423.94
265,Imagine,7,Mission,358.03
266,Maintain,5,Wonder,229.65
267,Best,3,Sing,496.65
268,Reveal,9,Song,297.14
269,Smile,4,Situation,59.62
270,Call,3,Fund,447.78
271,East,8,Make,365.84
272,Hear,5,Soon,22.0
273,Area,5,Free,247.76
274,Current,4,Woman,308.75
275,Edge,9,Authority,355.7
276,Great,4,Gun,454.43
277,Attack,9,Money,101.57
278,Number,7,Employee,26.6
279,May,8,Ask,24.86
280,Lot,4,Per,55.42
281,Call,5,Drive,242.16
282,Argue,2,Entire,444.18
283,Into,5,Country,456.53
284,Wide,8,American,245.99
285,Watch,6,Season,212.71
286,Give,6,Identify,406.28
287,Chair,3,Realize,331.51
288,Rich,1,Role,398.22
289,Fine,8,Meet,44.62
290,Room,7,Budget,173.81
291,Require,2,Age,261.07
292,Hotel,1,Run,142.59
293,Color,5,Institution,119.07
294,Nothing,3,Cultural,113.58
295,Police,7,Meet,147.34
296,Option,4,Spend,339.8
297,Collection,4,Matter,397.77
298,Human,4,Her,230.42
299,Foot,5,Policy,433.85
